city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind_speed,rain
King City,City,Monterey,california,36.2127,-121.126,2.53,55,Moderate air quality,pm25,12/1/2018 6:06,53.06,1,1020,2.23,0.51
Kingsburg,City,Fresno,california,36.5138,-119.554,2.44,82,Moderate air quality,pm25,12/1/2018 6:06,53.42,1,1018,1.91,0
La Ca̱ada Flintridge,City,Los Angeles,california,34.2068,-118.2,3,64,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1015,2.1,0
La Habra,City,Orange,california,33.9319,-117.946,3.04,62,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
La Habra Heights,City,Los Angeles,california,33.9608,-117.951,3.04,56,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
La Mesa,City,San Diego,california,32.7678,-117.023,3.4,73,Moderate air quality,pm25,12/1/2018 6:06,63.28,40,1016,2.6,0
La Mirada,City,Los Angeles,california,33.9172,-118.012,3.05,60,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
La Palma,City,Orange,california,33.8463,-118.046,3.05,53,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
La Puente,City,Los Angeles,california,34.02,-117.95,3.02,59,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,1.46,0
La Quinta,City,Riverside,california,33.6634,-116.31,3.24,38,Good air quality,o3,12/1/2018 6:06,68,40,1014,3.6,0
La Verne,City,Los Angeles,california,34.1008,-117.768,3.02,61,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,0.53,0
Lafayette,City,Contra Costa,california,37.8858,-122.118,2,48,Good air quality,pm25,12/1/2018 6:06,57.96,1,1020,2.1,1.02
Laguna Beach,City,Orange,california,33.5427,-117.785,3.12,61,Moderate air quality,pm25,12/1/2018 6:06,62.62,1,1016,0.83,0
Laguna Hills,City,Orange,california,33.5916,-117.699,3.17,52,Moderate air quality,pm25,12/1/2018 6:06,62.53,1,1016,0.83,0
Laguna Niguel,City,Orange,california,33.5237,-117.715,3.17,60,Moderate air quality,pm25,12/1/2018 6:06,62.49,1,1016,0.83,0
Laguna Woods,City,Orange,california,33.6102,-117.725,3.17,53,Moderate air quality,pm25,12/1/2018 6:06,62.64,1,1016,0.83,0
Lake Elsinore,City,Riverside,california,33.6681,-117.327,3.19,51,Moderate air quality,pm25,12/1/2018 6:06,62.19,1,1016,0.83,0
Lake Forest,City,Orange,california,33.6469,-117.686,3.17,52,Moderate air quality,pm25,12/1/2018 6:06,62.64,1,1016,0.83,0
Lakeport,City,Lake,california,39.0429,-122.916,1.78,57,Moderate air quality,pm25,12/1/2018 6:06,50,90,1018,1.5,0.25
Lakewood,City,Los Angeles,california,33.8536,-118.134,3.05,58,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Lancaster,City,Los Angeles,california,34.6868,-118.154,2.97,37,Good air quality,o3,12/1/2018 6:06,56.55,1,1017,4.6,0
Larkspur,City,Marin,california,37.9341,-122.535,1.96,26,Good air quality,pm25,12/1/2018 6:06,58.14,20,1020,3.1,0.51
Lathrop,City,San Joaquin,california,37.8227,-121.277,2.01,58,Moderate air quality,pm25,12/1/2018 6:06,53.67,1,1019,3.1,2.46
Lawndale,City,Los Angeles,california,33.8872,-118.353,3.05,64,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Lemon Grove,City,San Diego,california,32.7425,-117.031,3.47,74,Moderate air quality,pm25,12/1/2018 6:06,63.34,40,1016,2.6,0
Lemoore,City,Kings,california,36.3008,-119.783,2.48,68,Moderate air quality,pm25,12/1/2018 6:06,53.29,1,1018,3.91,0
Lincoln,City,Placer,california,38.8916,-121.293,1.83,61,Moderate air quality,pm25,12/1/2018 6:06,53.08,1,1018,3.6,0
Lindsay,City,Tulare,california,36.203,-119.088,2.58,90,Moderate air quality,pm25,12/1/2018 6:06,53.85,90,1019,0.88,0
Live Oak,City,Sutter,california,39.2757,-121.66,1.74,62,Moderate air quality,pm25,12/1/2018 6:06,56.05,1,1017,3.1,0
Livermore,City,Alameda,california,37.6819,-121.768,2.07,56,Moderate air quality,pm25,12/1/2018 6:06,57.04,1,1020,2.1,1.02
Livingston,City,Merced,california,37.3869,-120.724,2.19,63,Moderate air quality,pm25,12/1/2018 6:06,51.94,1,1019,2.1,4.32
Lodi,City,San Joaquin,california,38.1341,-121.272,1.95,67,Moderate air quality,pm25,12/1/2018 6:06,56.59,1,1019,3.1,2.46
Loma Linda,City,San Bernardino,california,34.0483,-117.261,3.03,64,Moderate air quality,pm25,12/1/2018 6:06,61.41,1,1016,0.71,0
Lomita,City,Los Angeles,california,33.7922,-118.315,3.05,39,Good air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Lompoc,City,Santa Barbara,california,34.6391,-120.458,2.85,43,Good air quality,pm25,12/1/2018 6:06,60.64,1,1019,3.1,0
Long Beach,City,Los Angeles,california,33.7701,-118.194,3.05,67,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Loomis,Town,Placer,california,38.8213,-121.193,1.87,57,Moderate air quality,pm25,12/1/2018 6:06,52.43,1,1018,3.6,0
Los Alamitos,City,Orange,california,33.8032,-118.072,3.05,59,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Los Altos,City,Santa Clara,california,37.3852,-122.114,2.12,54,Moderate air quality,pm25,12/1/2018 6:06,56.95,20,1020,3.1,1.02
Los Altos Hills,Town,Santa Clara,california,37.3797,-122.137,2.12,34,Good air quality,pm25,12/1/2018 6:06,56.95,20,1020,3.1,1.02
Los Angeles,City,Los Angeles,california,34.0522,-118.244,3,76,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,1.5,0
Los Banos,City,Merced,california,37.0583,-120.85,2.23,57,Moderate air quality,pm25,12/1/2018 6:06,52.39,1,1019,2.1,4.32
Los Gatos,Town,Santa Clara,california,37.2358,-121.962,2.2,47,Good air quality,pm25,12/1/2018 6:06,56.26,1,1020,2.1,0.92
Loyalton,City,Sierra,california,39.6763,-120.241,1.93,54,Moderate air quality,pm25,12/1/2018 6:06,37.51,1,1015,4.1,0.25
Lynwood,City,Los Angeles,california,33.9303,-118.211,3.05,66,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
Madera,City,Madera,california,36.9613,-120.061,2.34,83,Moderate air quality,pm25,12/1/2018 6:06,51.67,1,1018,2.36,0
Malibu,City,Los Angeles,california,34.0259,-118.78,3,40,Good air quality,pm25,12/1/2018 6:06,63.01,40,1016,3.6,0
Mammoth Lakes,Town,Mono,california,37.6485,-118.972,2.52,24,Good air quality,o3,12/1/2018 6:06,33.62,1,1016,1.5,0
Manhattan Beach,City,Los Angeles,california,33.8847,-118.411,3.05,58,Moderate air quality,pm25,12/1/2018 6:06,63.36,20,1015,3.1,0
Manteca,City,San Joaquin,california,37.7974,-121.216,2.03,74,Moderate air quality,pm25,12/1/2018 6:06,53.56,1,1019,3.1,2.46
Maricopa,City,Kern,california,35.0589,-119.401,2.77,67,Moderate air quality,pm25,12/1/2018 6:06,57.92,20,1018,2.1,0
Marina,City,Monterey,california,36.6844,-121.802,2.31,52,Moderate air quality,pm25,12/1/2018 6:06,54.23,1,1020,3.38,0.38
Martinez,City,Contra Costa,california,38.0194,-122.134,1.94,58,Moderate air quality,pm25,12/1/2018 6:06,58.26,1,1020,2.1,1.17
Marysville,City,Yuba,california,39.1457,-121.591,1.78,65,Moderate air quality,pm25,12/1/2018 6:06,55.99,1,1017,3.1,0
Maywood,City,Los Angeles,california,33.9867,-118.185,3.05,69,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1015,2.6,0
McFarland,City,Kern,california,35.678,-119.229,2.67,108,Unhealthy for sensitive groups air quality,pm25,12/1/2018 6:06,55.76,75,1019,1.78,0
Mendota,City,Fresno,california,36.7536,-120.382,2.32,71,Moderate air quality,pm25,12/1/2018 6:06,52.47,1,1018,3.36,0
Menifee,City,Riverside,california,33.6971,-117.185,3.17,36,Good air quality,o3,12/1/2018 6:06,61.56,1,1016,0.91,0
Menlo Park,City,San Mateo,california,37.453,-122.182,2.12,60,Moderate air quality,pm25,12/1/2018 6:06,56.79,1,1020,2.1,0.92
Merced,City,Merced,california,37.3022,-120.483,2.21,63,Moderate air quality,pm25,12/1/2018 6:06,51.96,1,1019,2.1,4.32
Mill Valley,City,Marin,california,37.906,-122.545,1.96,53,Moderate air quality,pm25,12/1/2018 6:06,58.05,20,1020,3.1,1.17
Millbrae,City,San Mateo,california,37.5985,-122.387,2.04,59,Moderate air quality,pm25,12/1/2018 6:06,57.85,20,1020,3.1,1.02
Milpitas,City,Santa Clara,california,37.4323,-121.9,2.12,52,Moderate air quality,pm25,12/1/2018 6:06,56.95,1,1020,2.1,1.02
Mission Viejo,City,Orange,california,33.5969,-117.658,3.17,53,Moderate air quality,pm25,12/1/2018 6:06,62.49,1,1016,0.83,0
Modesto,City,Stanislaus,california,37.6391,-120.997,2.11,77,Moderate air quality,pm25,12/1/2018 6:06,52.23,1,1019,1.5,2.42
Monrovia,City,Los Angeles,california,34.1443,-118.002,3,63,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1015,1.46,0
Montague,City,Siskiyou,california,41.7282,-122.528,1.41,46,Good air quality,pm25,12/1/2018 6:06,41.74,75,1013,1.03,0
Montclair,City,San Bernardino,california,34.0775,-117.69,3.06,60,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,2.1,0
Monte Sereno,City,Santa Clara,california,37.2363,-121.992,2.2,43,Good air quality,pm25,12/1/2018 6:06,56.26,1,1020,2.1,1.02
Montebello,City,Los Angeles,california,34.0165,-118.114,3,58,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,1.46,0
Monterey,City,Monterey,california,36.6002,-121.895,2.31,60,Moderate air quality,pm25,12/1/2018 6:06,54.23,1,1020,4.1,0.38
Monterey Park,City,Los Angeles,california,34.0625,-118.123,3,66,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,1.46,0
Moorpark,City,Ventura,california,34.2856,-118.882,2.95,58,Moderate air quality,pm25,12/1/2018 6:06,62.91,40,1016,3.6,0
Moraga,Town,Contra Costa,california,37.8349,-122.13,2,29,Good air quality,pm25,12/1/2018 6:06,58.1,1,1020,2.1,1.14
Moreno Valley,City,Riverside,california,33.9425,-117.23,3.1,64,Moderate air quality,pm25,12/1/2018 6:06,61.57,1,1016,0.71,0
Morgan Hill,City,Santa Clara,california,37.1305,-121.654,2.2,53,Moderate air quality,pm25,12/1/2018 6:06,55.11,40,1020,1.5,1.22
Morro Bay,City,San Luis Obispo,california,35.3659,-120.85,2.68,22,Good air quality,o3,12/1/2018 6:06,58.12,1,1019,1.93,0
Mount Shasta,City,Siskiyou,california,41.3099,-122.311,1.48,37,Good air quality,pm25,12/1/2018 6:06,42.39,90,1013,2.6,0
Mountain View,City,Santa Clara,california,37.3861,-122.084,2.12,61,Moderate air quality,pm25,12/1/2018 6:06,56.95,1,1020,2.1,0.92
Murrieta,City,Riverside,california,33.5539,-117.214,3.17,39,Good air quality,o3,12/1/2018 6:06,61.32,1,1016,0.91,0
Napa,City,Napa,california,38.2975,-122.287,1.9,55,Moderate air quality,pm25,12/1/2018 6:06,58.46,1,1019,1.01,0.25
National City,City,San Diego,california,32.6781,-117.099,3.47,82,Moderate air quality,pm25,12/1/2018 6:06,63.48,40,1016,2.6,0
Needles,City,San Bernardino,california,34.8481,-114.614,2.94,63,Moderate air quality,pm25,12/1/2018 6:06,63.72,1,1013,1.5,0
Nevada City,City,Nevada,california,39.2616,-121.016,1.82,29,Good air quality,o3,12/1/2018 6:06,51.78,1,1017,3.1,0.51
Newark,City,Alameda,california,37.5297,-122.04,2.03,31,Good air quality,pm25,12/1/2018 6:06,56.95,1,1020,2.1,1.02
Newman,City,Stanislaus,california,37.3138,-121.021,2.16,57,Moderate air quality,pm25,12/1/2018 6:06,53.06,1,1019,2.1,2.42
Newport Beach,City,Orange,california,33.6189,-117.93,3.12,47,Good air quality,pm25,12/1/2018 6:06,62.94,20,1015,2.1,0
Norco,City,Riverside,california,33.9311,-117.549,3.08,55,Moderate air quality,pm25,12/1/2018 6:06,62.6,1,1016,0.53,0
Norwalk,City,Los Angeles,california,33.9022,-118.082,3.05,64,Moderate air quality,pm25,12/1/2018 6:06,63.25,20,1015,1.46,0
Novato,City,Marin,california,38.1074,-122.57,1.92,57,Moderate air quality,pm25,12/1/2018 6:06,58.69,1,1019,2.1,0.51
Oakdale,City,Stanislaus,california,37.7666,-120.847,2.05,71,Moderate air quality,pm25,12/1/2018 6:06,50.56,1,1019,2.1,2.42
Oakland,City,Alameda,california,37.8044,-122.271,1.97,67,Moderate air quality,pm25,12/1/2018 6:06,57.96,1,1020,2.1,1.14
Oakley,City,Contra Costa,california,37.9974,-121.712,2.01,61,Moderate air quality,pm25,12/1/2018 6:06,58.32,1,1019,3.1,0.89
Oceanside,City,San Diego,california,33.1959,-117.379,3.32,59,Moderate air quality,pm25,12/1/2018 6:06,63.25,1,1016,5.18,0
Ojai,City,Ventura,california,34.448,-119.243,2.95,53,Moderate air quality,pm25,12/1/2018 6:06,64,1,1016,5.96,0
Ontario,City,San Bernardino,california,34.0633,-117.651,3.06,59,Moderate air quality,pm25,12/1/2018 6:06,62.98,1,1016,2.1,0
Orange,City,Orange,california,33.7879,-117.853,3.04,61,Moderate air quality,pm25,12/1/2018 6:06,62.94,20,1015,0.83,0
Orange Cove,City,Fresno,california,36.6244,-119.314,2.46,79,Moderate air quality,pm25,12/1/2018 6:06,53.11,1,1019,1.91,0
Orinda,City,Contra Costa,california,37.8771,-122.18,2,51,Moderate air quality,pm25,12/1/2018 6:06,57.96,1,1020,2.1,1.14
Orland,City,Glenn,california,39.7474,-122.196,1.69,34,Good air quality,pm25,12/1/2018 6:06,56.08,90,1017,1.5,0
Oroville,City,Butte,california,39.5138,-121.556,1.72,45,Good air quality,pm25,12/1/2018 6:06,54.21,1,1017,3.1,0.51
Oxnard,City,Ventura,california,34.1975,-119.177,2.96,61,Moderate air quality,pm25,12/1/2018 6:06,64.02,40,1016,3.6,0
Pacific Grove,City,Monterey,california,36.6177,-121.917,2.31,45,Good air quality,pm25,12/1/2018 6:06,53.65,1,1020,4.1,0.38
Pacifica,City,San Mateo,california,37.6138,-122.487,2.04,39,Good air quality,pm25,12/1/2018 6:06,57.67,20,1020,3.1,1.14
Palm Desert,City,Riverside,california,33.7222,-116.374,3.24,55,Moderate air quality,pm25,12/1/2018 6:06,63.09,40,1014,3.6,0
Palm Springs,City,Riverside,california,33.8303,-116.545,3.17,49,Good air quality,pm25,12/1/2018 6:06,61.41,1,1016,1.11,0
Palmdale,City,Los Angeles,california,34.5794,-118.116,2.97,47,Good air quality,pm25,12/1/2018 6:06,57.7,1,1016,5.1,0
Palo Alto,City,Santa Clara,california,37.4419,-122.143,2.12,57,Moderate air quality,pm25,12/1/2018 6:06,56.95,1,1020,2.1,1.02
Palos Verdes Estates,City,Los Angeles,california,33.8006,-118.39,3.05,45,Good air quality,pm25,12/1/2018 6:06,63.36,1,1015,2.6,0
Paradise,Town,Butte,california,39.7596,-121.622,1.74,30,Good air quality,pm25,12/1/2018 6:06,55.89,20,1018,2.6,0
Paramount,City,Los Angeles,california,33.8895,-118.16,3.05,39,Good air quality,pm25,12/1/2018 6:06,63.25,20,1015,5.33,0
Parlier,City,Fresno,california,36.6116,-119.527,2.44,76,Moderate air quality,pm25,12/1/2018 6:06,52.83,1,1018,1.91,0
Pasadena,City,Los Angeles,california,34.1478,-118.145,3,66,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1015,2.1,0
Paso Robles,City,San Luis Obispo,california,35.6369,-120.655,2.66,25,Good air quality,o3,12/1/2018 6:06,56.17,1,1019,4.6,0
Patterson,City,Stanislaus,california,37.4716,-121.13,2.16,62,Moderate air quality,pm25,12/1/2018 6:06,54.18,1,1019,2.1,2.46
Perris,City,Riverside,california,33.7825,-117.229,3.1,62,Moderate air quality,pm25,12/1/2018 6:06,61.5,1,1016,0.91,0
Petaluma,City,Sonoma,california,38.2324,-122.637,1.92,57,Moderate air quality,pm25,12/1/2018 6:06,59,1,1019,1.01,0.25
Pico Rivera,City,Los Angeles,california,33.9831,-118.097,3.05,60,Moderate air quality,pm25,12/1/2018 6:06,63.64,20,1015,1.46,0
Piedmont,City,Alameda,california,37.8244,-122.232,2,31,Good air quality,pm25,12/1/2018 6:06,58.12,1,1020,2.1,1.14
Pinole,City,Contra Costa,california,38.0044,-122.299,1.92,55,Moderate air quality,pm25,12/1/2018 6:06,58.35,1,1020,2.1,1.02
Pismo Beach,City,San Luis Obispo,california,35.1428,-120.641,2.74,44,Good air quality,pm25,12/1/2018 6:06,58.35,1,1019,1.93,0
Pittsburg,City,Contra Costa,california,38.028,-121.885,1.93,61,Moderate air quality,pm25,12/1/2018 6:06,58.17,1,1020,2.1,1.06
Placentia,City,Orange,california,33.8711,-117.863,3.04,59,Moderate air quality,pm25,12/1/2018 6:06,62.92,1,1015,0.83,0
Placerville,City,El Dorado,california,38.7296,-120.799,1.94,38,Good air quality,pm25,12/1/2018 6:06,49.98,1,1018,3.6,0.51
Pleasant Hill,City,Contra Costa,california,37.948,-122.061,2,56,Moderate air quality,pm25,12/1/2018 6:06,58.26,1,1020,2.1,1.14
Pleasanton,City,Alameda,california,37.6624,-121.875,2.07,52,Moderate air quality,pm25,12/1/2018 6:06,56.89,1,1020,2.1,1.05
Plymouth,City,Amador,california,38.4819,-120.845,1.97,34,Good air quality,pm25,12/1/2018 6:06,50.97,1,1018,3.6,0
Point Arena,City,Mendocino,california,38.9088,-123.693,1.78,36,Good air quality,pm25,12/1/2018 6:06,50,90,1018,1.5,0
Pomona,City,Los Angeles,california,34.0551,-117.75,3.06,65,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,0.53,0
Port Hueneme,City,Ventura,california,34.1478,-119.195,2.96,55,Moderate air quality,pm25,12/1/2018 6:06,63.72,40,1016,3.6,0
Porterville,City,Tulare,california,36.0652,-119.017,2.58,115,Unhealthy for sensitive groups air quality,pm25,12/1/2018 6:06,54.36,90,1019,0.88,0
Portola,City,Plumas,california,39.8105,-120.469,1.86,71,Moderate air quality,pm25,12/1/2018 6:06,41.23,1,1015,4.1,0.25
Portola Valley,Town,San Mateo,california,37.3841,-122.235,2.12,35,Good air quality,pm25,12/1/2018 6:06,56.79,1,1020,2.1,1.02
Poway,City,San Diego,california,32.9628,-117.036,3.4,39,Good air quality,pm25,12/1/2018 6:06,62.96,40,1016,2.6,0
Rancho Cordova,City,Sacramento,california,38.5891,-121.303,1.87,55,Moderate air quality,pm25,12/1/2018 6:06,55.45,1,1019,2.6,0
Rancho Cucamonga,City,San Bernardino,california,34.1064,-117.593,3.06,51,Moderate air quality,pm25,12/1/2018 6:06,63.03,1,1016,2.1,0
Rancho Mirage,City,Riverside,california,33.7397,-116.413,3.24,38,Good air quality,o3,12/1/2018 6:06,62.64,1,1016,1.11,0
Rancho Palos Verdes,City,Los Angeles,california,33.7445,-118.387,3.13,39,Good air quality,pm25,12/1/2018 6:06,63.36,1,1015,2.6,0
Rancho Santa Margarita,City,Orange,california,33.6402,-117.603,3.17,44,Good air quality,pm25,12/1/2018 6:06,62.49,1,1016,0.83,0
Red Bluff,City,Tehama,california,40.1785,-122.236,1.62,44,Good air quality,pm25,12/1/2018 6:06,54.45,90,1017,1.5,0
Redding,City,Shasta,california,40.5865,-122.392,1.53,86,Moderate air quality,pm25,12/1/2018 6:06,50.68,90,1016,2.1,0
Redlands,City,San Bernardino,california,34.0556,-117.183,3.1,69,Moderate air quality,pm25,12/1/2018 6:06,59.79,1,1016,0.71,0
Redondo Beach,City,Los Angeles,california,33.8492,-118.388,3.05,63,Moderate air quality,pm25,12/1/2018 6:06,63.36,1,1015,2.6,0
Redwood City,City,San Mateo,california,37.4852,-122.236,2.12,54,Moderate air quality,pm25,12/1/2018 6:06,57.74,1,1020,2.1,1.14
Reedley,City,Fresno,california,36.5963,-119.45,2.46,79,Moderate air quality,pm25,12/1/2018 6:06,52.97,1,1018,1.91,0
Rialto,City,San Bernardino,california,34.1064,-117.37,3.03,66,Moderate air quality,pm25,12/1/2018 6:06,61.41,1,1016,0.53,0
Richmond,City,Contra Costa,california,37.9358,-122.348,1.97,64,Moderate air quality,pm25,12/1/2018 6:06,58.19,1,1020,2.1,1.17
Ridgecrest,City,Kern,california,35.6225,-117.671,2.77,49,Good air quality,pm25,12/1/2018 6:06,60.98,1,1013,2.6,0
Rio Dell,City,Humboldt,california,40.4993,-124.106,1.56,26,Good air quality,o3,12/1/2018 6:06,47.7,75,1017,4.6,0
Rio Vista,City,Solano,california,38.1558,-121.691,1.94,55,Moderate air quality,pm25,12/1/2018 6:06,57.74,1,1019,2.1,0.89
Ripon,City,San Joaquin,california,37.7395,-121.135,2.09,56,Moderate air quality,pm25,12/1/2018 6:06,53.42,1,1019,3.1,2.46
Riverbank,City,Stanislaus,california,37.736,-120.935,2.11,57,Moderate air quality,pm25,12/1/2018 6:06,52.3,1,1019,1.5,2.42
Riverside,City,Riverside,california,33.9806,-117.375,3.08,76,Moderate air quality,pm25,12/1/2018 6:06,61.92,1,1016,0.53,0
Rocklin,City,Placer,california,38.7907,-121.236,1.87,59,Moderate air quality,pm25,12/1/2018 6:06,52.41,1,1018,3.6,0.51
Rohnert Park,City,Sonoma,california,38.3396,-122.701,1.88,29,Good air quality,o3,12/1/2018 6:06,59.23,1,1019,1.01,0
Rolling Hills,City,Los Angeles,california,33.757,-118.354,3.05,39,Good air quality,pm25,12/1/2018 6:06,63.36,1,1015,2.6,0
Rolling Hills Estates,City,Los Angeles,california,33.7878,-118.358,3.05,53,Moderate air quality,pm25,12/1/2018 6:06,63.36,1,1015,2.6,0
Rosemead,City,Los Angeles,california,34.0806,-118.073,3,64,Moderate air quality,pm25,12/1/2018 6:06,63.27,20,1015,1.46,0
Roseville,City,Placer,california,38.7521,-121.288,1.83,57,Moderate air quality,pm25,12/1/2018 6:06,52.41,1,1018,3.6,0.51
Ross,Town,Marin,california,37.9624,-122.555,1.96,37,Good air quality,pm25,12/1/2018 6:06,58.55,20,1020,3.1,0.51
Sacramento,City,Sacramento,california,38.5816,-121.494,1.87,63,Moderate air quality,pm25,12/1/2018 6:06,55.44,1,1019,2.1,0
St. Helena,City,Napa,california,38.5052,-122.47,1.86,38,Good air quality,pm25,12/1/2018 6:06,58.91,1,1019,1.01,0
Salinas,City,Monterey,california,36.6777,-121.656,2.32,58,Moderate air quality,pm25,12/1/2018 6:06,54.25,1,1020,3.38,0.38
San Anselmo,Town,Marin,california,37.9746,-122.562,1.96,37,Good air quality,pm25,12/1/2018 6:06,58.33,20,1020,3.1,0.51
San Bernardino,City,San Bernardino,california,34.1083,-117.29,3.03,62,Moderate air quality,pm25,12/1/2018 6:06,60.87,1,1016,0.71,0
San Bruno,City,San Mateo,california,37.6305,-122.411,2.04,65,Moderate air quality,pm25,12/1/2018 6:06,57.85,20,1020,3.1,1.14
San Carlos,City,San Mateo,california,37.5072,-122.261,2.04,58,Moderate air quality,pm25,12/1/2018 6:06,57.74,1,1020,2.1,1.14
San Clemente,City,Orange,california,33.4274,-117.613,3.2,56,Moderate air quality,pm25,12/1/2018 6:06,62.82,1,1016,0.83,0
San Diego,City,San Diego,california,32.7157,-117.161,3.47,84,Moderate air quality,pm25,12/1/2018 6:06,63.34,40,1016,2.6,0
San Dimas,City,Los Angeles,california,34.1067,-117.807,3.02,63,Moderate air quality,pm25,12/1/2018 6:06,62.94,1,1016,0.53,0
San Fernando,City,Los Angeles,california,34.2819,-118.439,3,65,Moderate air quality,pm25,12/1/2018 6:06,62.65,1,1015,2.1,0
San Francisco,City and county,San Francisco,california,37.7749,-122.419,1.97,65,Moderate air quality,pm25,12/1/2018 6:06,58.05,20,1020,3.1,1.14
San Gabriel,City,Los Angeles,california,34.0961,-118.106,3,63,Moderate air quality,pm25,12/1/2018 6:06,63.27,1,1015,2.1,0
San Jacinto,City,Riverside,california,33.7839,-116.959,3.16,61,Moderate air quality,pm25,12/1/2018 6:06,61,1,1016,0.91,0
San Joaquin,City,Fresno,california,36.6066,-120.189,2.39,64,Moderate air quality,pm25,12/1/2018 6:06,52.79,1,1018,3.91,0
San Jose,City,Santa Clara,california,37.3382,-121.886,2.12,58,Moderate air quality,pm25,12/1/2018 6:06,56.46,1,1020,2.1,1.02
San Juan Bautista,City,San Benito,california,36.8455,-121.538,2.25,23,Good air quality,o3,12/1/2018 6:06,54.27,1,1020,3.38,0.59
San Juan Capistrano,City,Orange,california,33.5019,-117.663,3.17,61,Moderate air quality,pm25,12/1/2018 6:06,62.49,1,1016,0.83,0
San Leandro,City,Alameda,california,37.7249,-122.156,2.03,51,Moderate air quality,pm25,12/1/2018 6:06,58.05,1,1020,2.1,1.14
San Luis Obispo,City,San Luis Obispo,california,35.2828,-120.66,2.71,20,Good air quality,o3,12/1/2018 6:06,58.26,1,1019,1.93,0
San Marcos,City,San Diego,california,33.1434,-117.166,3.33,47,Good air quality,pm25,12/1/2018 6:06,62.96,40,1016,2.6,0
San Marino,City,Los Angeles,california,34.1214,-118.106,3,63,Moderate air quality,pm25,12/1/2018 6:06,62.69,1,1015,2.1,0
San Mateo,City,San Mateo,california,37.563,-122.326,2.04,66,Moderate air quality,pm25,12/1/2018 6:06,57.67,1,1020,2.1,1.14
San Pablo,City,Contra Costa,california,37.9621,-122.346,1.97,61,Moderate air quality,pm25,12/1/2018 6:06,58.35,1,1020,2.1,1.17
San Rafael,City,Marin,california,37.9735,-122.531,1.96,59,Moderate air quality,pm25,12/1/2018 6:06,58.41,20,1020,3.1,0.51
San Ramon,City,Contra Costa,california,37.7799,-121.978,2.02,53,Moderate air quality,pm25,12/1/2018 6:06,57.9,1,1020,2.1,1.05
Sand City,City,Monterey,california,36.6172,-121.848,2.31,25,Good air quality,pm25,12/1/2018 6:06,54.23,1,1020,4.1,0.38
Sanger,City,Fresno,california,36.708,-119.556,2.44,73,Moderate air quality,pm25,12/1/2018 6:06,53.17,1,1018,1.91,0
Santa Ana,City,Orange,california,33.7455,-117.868,3.12,68,Moderate air quality,pm25,12/1/2018 6:06,62.89,20,1015,2.1,0
Santa Barbara,City,Santa Barbara,california,34.4208,-119.698,2.92,57,Moderate air quality,pm25,12/1/2018 6:06,63.55,1,1018,4.1,0
Santa Clara,City,Santa Clara,california,37.3541,-121.955,2.12,56,Moderate air quality,pm25,12/1/2018 6:06,56.7,1,1020,2.1,1.02
Santa Clarita,City,Los Angeles,california,34.3917,-118.543,2.97,30,Good air quality,o3,12/1/2018 6:06,62.22,1,1015,2.1,0
Santa Cruz,City,Santa Cruz,california,36.9741,-122.031,2.23,56,Moderate air quality,pm25,12/1/2018 6:06,54.57,1,1020,2.1,0.89
Santa Fe Springs,City,Los Angeles,california,33.9472,-118.085,3.05,58,Moderate air quality,pm25,12/1/2018 6:06,63.16,20,1015,1.46,0
Santa Maria,City,Santa Barbara,california,34.953,-120.436,2.8,47,Good air quality,pm25,12/1/2018 6:06,59.47,1,1018,4.6,0
Santa Monica,City,Los Angeles,california,34.0195,-118.491,2.98,73,Moderate air quality,pm25,12/1/2018 6:06,63.3,20,1015,3.1,0
Santa Paula,City,Ventura,california,34.3542,-119.059,2.95,58,Moderate air quality,pm25,12/1/2018 6:06,63.1,40,1016,3.6,0
Santa Rosa,City,Sonoma,california,38.4404,-122.714,1.88,57,Moderate air quality,pm25,12/1/2018 6:06,59,1,1019,4.26,0
Santee,City,San Diego,california,32.8384,-116.974,3.46,60,Moderate air quality,pm25,12/1/2018 6:06,63.28,40,1016,2.6,0
